               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11414,            0.034595,            0.027223,           0.0034064,             0.41026,             0.02714,           0.0055809,             0.10046,            0.026371,             0.02298,              0.0892,              0.0012,              0.0012
                   1,            0.095965,            0.038159,            0.019175,             0.55083,             0.20513,            0.047338,             0.01203,            0.091477,            0.024853,            0.016479,            0.077475,           0.0024753,           0.0024753
                   2,            0.090938,            0.036048,             0.01382,             0.70224,             0.19231,             0.16231,            0.034238,            0.088876,            0.022488,            0.013075,            0.065725,           0.0037248,           0.0037248
                   3,            0.083067,            0.031156,           0.0089357,             0.74304,             0.28205,             0.25098,             0.10408,            0.084782,             0.02494,            0.010836,            0.053949,           0.0049485,           0.0049485
                   4,            0.082627,            0.028544,            0.007996,             0.68516,             0.33333,             0.23238,             0.11252,             0.08961,            0.019699,            0.008651,            0.042147,           0.0061466,           0.0061466
                   5,            0.083281,            0.030711,           0.0072561,             0.77774,             0.28205,             0.28299,            0.092416,            0.074362,            0.020233,           0.0070877,            0.030319,           0.0073188,           0.0073188
                   6,            0.076195,            0.031513,            0.006203,             0.65464,             0.25641,               0.142,            0.037697,            0.083816,            0.018375,           0.0060944,            0.018465,           0.0084654,           0.0084654
                   7,            0.078915,            0.028552,           0.0060523,             0.74898,             0.41026,             0.31826,             0.14925,            0.079146,            0.016903,           0.0050011,            0.009307,            0.009307,            0.009307
                   8,             0.07552,            0.025112,           0.0052679,             0.56309,             0.55645,             0.35825,             0.11552,            0.075793,            0.016537,           0.0040421,            0.009307,            0.009307,            0.009307
                   9,            0.070891,            0.026519,           0.0049764,             0.77857,              0.4359,             0.45277,             0.19552,            0.063121,            0.016415,           0.0036972,            0.009208,            0.009208,            0.009208
                  10,            0.065317,            0.023266,           0.0047023,             0.70735,             0.38462,             0.30579,             0.10643,            0.069563,            0.016373,           0.0038292,            0.009109,            0.009109,            0.009109
                  11,              0.0605,            0.023847,           0.0045008,             0.91006,             0.40916,             0.56511,             0.26474,            0.058199,            0.014263,           0.0034943,             0.00901,             0.00901,             0.00901
                  12,             0.05907,            0.022784,           0.0041879,             0.41137,             0.62607,             0.51912,             0.17395,            0.060417,            0.013964,           0.0032539,            0.008911,            0.008911,            0.008911
                  13,            0.054517,            0.021556,           0.0042074,             0.36273,             0.65491,              0.5345,             0.25267,            0.059068,            0.012838,           0.0030571,            0.008812,            0.008812,            0.008812
                  14,            0.054143,            0.019416,           0.0037984,             0.48699,             0.73825,             0.64402,             0.24004,            0.057682,            0.012604,           0.0032295,            0.008713,            0.008713,            0.008713
                  15,            0.051631,            0.018288,           0.0037498,             0.65068,             0.64103,             0.71804,             0.35286,            0.052367,            0.012127,           0.0030251,            0.008614,            0.008614,            0.008614
                  16,            0.050204,            0.017241,           0.0032422,             0.44291,             0.80662,             0.64389,             0.25474,            0.052332,             0.01269,              0.0028,            0.008515,            0.008515,            0.008515
                  17,            0.049918,             0.01943,           0.0040163,             0.61206,             0.72436,             0.76057,             0.38441,            0.050099,            0.011475,           0.0029961,            0.008416,            0.008416,            0.008416
                  18,            0.046455,            0.019031,            0.003381,             0.58167,              0.7938,             0.74203,             0.40509,            0.042409,            0.011341,           0.0028244,            0.008317,            0.008317,            0.008317
                  19,            0.043763,            0.017813,           0.0033453,             0.56868,             0.75214,             0.66488,             0.33679,            0.045396,            0.011557,           0.0023277,            0.008218,            0.008218,            0.008218
                  20,            0.044272,            0.018948,            0.003108,              0.7578,             0.73259,             0.74685,             0.38775,            0.041159,            0.011032,           0.0023674,            0.008119,            0.008119,            0.008119
                  21,              0.0438,            0.018579,           0.0029559,               0.755,             0.73932,             0.79334,             0.47812,            0.039658,            0.011353,           0.0024094,             0.00802,             0.00802,             0.00802
                  22,            0.042055,            0.016878,             0.00303,             0.73254,             0.73932,             0.73466,              0.3936,            0.039194,            0.010963,           0.0024109,            0.007921,            0.007921,            0.007921
                  23,            0.041652,            0.017708,           0.0028205,             0.60291,              0.7938,             0.76114,             0.41364,            0.042682,            0.010843,           0.0023602,            0.007822,            0.007822,            0.007822
                  24,             0.04155,            0.016047,           0.0028975,             0.77841,             0.76603,             0.79643,             0.45424,            0.039883,            0.010944,           0.0025547,            0.007723,            0.007723,            0.007723
                  25,            0.039738,            0.016044,           0.0026655,             0.84421,             0.77991,             0.83678,             0.46061,             0.04165,            0.010777,           0.0025082,            0.007624,            0.007624,            0.007624
