epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75942,1.04808,3.9003,1.17285,0.36669,0.39706,0.39207,0.34621,1.0342,3.09873,1.13178,0.00018337,0.00018337,0.00018337
2,4.44005,0.97312,1.5726,1.06446,0.45085,0.48619,0.46908,0.41396,0.89423,3.54116,1.02905,0.000379614,0.000379614,0.000379614
3,6.15492,0.85029,2.29959,0.92831,0.466,0.4131,0.41139,0.35505,0.98173,7.49566,1.01809,0.000571898,0.000571898,0.000571898
4,7.73719,1.00322,1.14688,1.01432,0.16676,0.29412,0.13115,0.11238,0.99264,11.5507,1.08526,0.00076022,0.00076022,0.00076022
5,9.35695,0.95417,0.95935,1.0252,0.31929,0.51738,0.38908,0.31596,1.00215,2.5533,1.06279,0.000944582,0.000944582,0.000944582
6,10.9541,0.95384,0.85926,1.03357,0.47701,0.48708,0.48912,0.38415,1.01185,2.11054,1.1089,0.00112498,0.00112498,0.00112498
7,12.5382,0.95622,0.89479,1.01838,0.20528,0.22059,0.1552,0.12176,1.22591,6.44061,1.22712,0.00130142,0.00130142,0.00130142
8,14.1706,0.94667,0.90225,1.00895,0.52976,0.62255,0.56597,0.39208,1.13874,1.12996,1.15605,0.0014739,0.0014739,0.0014739
9,15.7588,0.98403,0.86881,1.00867,0.60367,0.69033,0.65758,0.42646,1.08796,1.1937,1.15529,0.00153497,0.00153497,0.00153497
10,17.44,0.94407,0.81023,1.00489,0.64432,0.59889,0.63176,0.42359,1.08903,1.13365,1.21122,0.00151847,0.00151847,0.00151847
11,19.0262,0.981,0.75563,1.0104,0.86514,0.50134,0.63497,0.4237,1.19776,1.08667,1.21455,0.00150197,0.00150197,0.00150197
12,20.6135,0.96457,0.80559,1.01471,0.60983,0.58994,0.64341,0.4429,1.09115,1.20928,1.11662,0.00148546,0.00148546,0.00148546
13,22.2728,0.956,0.7689,1.01418,0.48794,0.63681,0.62502,0.44451,1.06295,1.01259,1.1118,0.00146896,0.00146896,0.00146896
14,23.8695,0.91265,0.74352,0.99001,0.41625,0.64877,0.55604,0.36717,1.13143,1.44987,1.16935,0.00145246,0.00145246,0.00145246
15,25.4501,0.9458,0.76077,1.03465,0.25928,0.63681,0.3024,0.16089,1.06499,3.62353,1.10941,0.00143595,0.00143595,0.00143595
16,27.0061,0.91467,0.72285,0.99546,0.55134,0.72861,0.64438,0.44214,1.08527,1.01116,1.10979,0.00141945,0.00141945,0.00141945
17,28.5801,0.94392,0.73118,1.00694,0.63168,0.75802,0.69308,0.49367,1.0373,0.82718,1.06914,0.00140295,0.00140295,0.00140295
18,30.2736,0.93456,0.80001,1.04166,0.80141,0.67811,0.7226,0.51001,0.96949,0.79435,1.06088,0.00138644,0.00138644,0.00138644
19,31.9127,0.93142,0.66637,0.98404,0.74501,0.74287,0.75768,0.48238,1.02759,0.92544,1.05759,0.00136994,0.00136994,0.00136994
20,33.5369,0.88222,0.71728,0.97202,0.63373,0.75802,0.75185,0.50499,0.95195,0.81214,1.03465,0.00135344,0.00135344,0.00135344
21,35.1151,0.86971,0.6594,0.98792,0.70146,0.71301,0.74615,0.51629,0.95553,0.88903,1.04482,0.00133693,0.00133693,0.00133693
22,36.737,0.87944,0.67593,0.96681,0.70496,0.78877,0.77513,0.52762,1.01278,0.85982,1.0602,0.00132043,0.00132043,0.00132043
23,38.3808,0.81603,0.65995,0.96562,0.6705,0.77406,0.77434,0.53732,0.91921,0.80988,1.01708,0.00130393,0.00130393,0.00130393
24,39.9892,0.84934,0.63778,0.96277,0.68914,0.74396,0.77474,0.52147,0.93481,0.80019,1.04281,0.00128742,0.00128742,0.00128742
25,41.599,0.87092,0.65801,0.98472,0.75685,0.70939,0.7423,0.52128,0.95149,0.8706,1.0236,0.00127092,0.00127092,0.00127092
26,43.1702,0.81342,0.6213,0.96144,0.82994,0.7061,0.79057,0.53898,0.94171,0.78268,0.99472,0.00125442,0.00125442,0.00125442
27,44.8374,0.8801,0.69026,1.02149,0.79829,0.65374,0.72577,0.50662,0.98584,0.85313,1.03558,0.00123791,0.00123791,0.00123791
28,46.4385,0.84274,0.636,0.96168,0.70732,0.79096,0.79617,0.54112,0.96047,0.77906,1.02149,0.00122141,0.00122141,0.00122141
29,48.1212,0.8866,0.68117,0.99276,0.71803,0.69476,0.73182,0.52262,0.91551,0.69809,1.04481,0.00120491,0.00120491,0.00120491
30,49.7082,0.82999,0.59981,0.98092,0.79045,0.7139,0.77178,0.54897,0.96608,0.76926,1.0624,0.0011884,0.0011884,0.0011884
31,51.463,0.83391,0.59332,0.95959,0.82018,0.74066,0.78855,0.53449,0.90035,0.75106,1.02509,0.0011719,0.0011719,0.0011719
32,53.0332,0.75769,0.54294,0.92697,0.76758,0.75936,0.75942,0.53891,0.89941,0.71461,1.01549,0.0011554,0.0011554,0.0011554
33,54.6677,0.79661,0.57579,0.95323,0.76248,0.77406,0.80265,0.56754,0.94464,0.72884,1.00983,0.00113889,0.00113889,0.00113889
34,56.3692,0.79737,0.55405,0.93971,0.71705,0.78922,0.78388,0.53607,0.93771,0.73636,1.03126,0.00112239,0.00112239,0.00112239
35,57.9487,0.77025,0.53452,0.95288,0.76991,0.75936,0.78271,0.56215,0.88133,0.74925,0.99705,0.00110589,0.00110589,0.00110589
36,59.5199,0.85046,0.66358,1.01046,0.69393,0.74421,0.72591,0.53706,0.97193,0.73476,1.06237,0.00108938,0.00108938,0.00108938
37,61.1014,0.74202,0.54906,0.93551,0.77446,0.81863,0.80287,0.57943,0.86252,0.66875,0.97701,0.00107288,0.00107288,0.00107288
38,62.7631,0.77663,0.58473,0.95327,0.73068,0.75891,0.74565,0.54805,0.91464,0.6456,0.99113,0.00105638,0.00105638,0.00105638
39,64.3365,0.78463,0.55398,0.93833,0.69946,0.80673,0.75704,0.55852,0.91422,0.65888,1.00877,0.00103987,0.00103987,0.00103987
40,65.9525,0.76968,0.55051,0.92765,0.79446,0.71346,0.77768,0.56735,0.89324,0.66136,0.98312,0.00102337,0.00102337,0.00102337
